snapshot_date,symbol,contract_date,label,tenor,price
2026-05-31,JCH27,2027-03-01,Mar 2027,9,460.0
2026-06-01,JCM26,2026-06-01,Jun 2026,0,452.5
2026-06-01,JCN26,2026-07-01,Jul 2026,1,447.5
2026-06-01,JCQ26,2026-08-01,Aug 2026,2,447.5
2026-06-01,JCU26,2026-09-01,Sep 2026,3,446.0
2026-06-01,JCV26,2026-10-01,Oct 2026,4,442.5
2026-06-01,JCX26,2026-11-01,Nov 2026,5,440.0
2026-06-01,JCZ26,2026-12-01,Dec 2026,6,440.0
2026-06-01,JCF27,2027-01-01,Jan 2027,7,460.0
2026-06-01,JCG27,2027-02-01,Feb 2027,8,460.0
2026-06-01,JCH27,2027-03-01,Mar 2027,9,460.0
2026-06-02,JCM26,2026-06-01,Jun 2026,0,463.75
2026-06-02,JCN26,2026-07-01,Jul 2026,1,464.0
2026-06-02,JCQ26,2026-08-01,Aug 2026,2,465.0
2026-06-02,JCU26,2026-09-01,Sep 2026,3,465.0
2026-06-02,JCV26,2026-10-01,Oct 2026,4,462.5
2026-06-02,JCX26,2026-11-01,Nov 2026,5,462.5
2026-06-02,JCZ26,2026-12-01,Dec 2026,6,462.5
2026-06-02,JCF27,2027-01-01,Jan 2027,7,460.0
2026-06-02,JCG27,2027-02-01,Feb 2027,8,460.0
2026-06-02,JCH27,2027-03-01,Mar 2027,9,460.0
2026-06-03,JCM26,2026-06-01,Jun 2026,0,453.25
2026-06-03,JCN26,2026-07-01,Jul 2026,1,440.0
2026-06-03,JCQ26,2026-08-01,Aug 2026,2,440.0
2026-06-03,JCU26,2026-09-01,Sep 2026,3,440.0
2026-06-03,JCV26,2026-10-01,Oct 2026,4,435.0
2026-06-03,JCX26,2026-11-01,Nov 2026,5,435.0
2026-06-03,JCZ26,2026-12-01,Dec 2026,6,435.0
2026-06-03,JCF27,2027-01-01,Jan 2027,7,440.0
2026-06-03,JCG27,2027-02-01,Feb 2027,8,445.0
2026-06-03,JCH27,2027-03-01,Mar 2027,9,450.0
2026-06-04,JCM26,2026-06-01,Jun 2026,0,453.0
2026-06-04,JCN26,2026-07-01,Jul 2026,1,442.5
2026-06-04,JCQ26,2026-08-01,Aug 2026,2,445.0
2026-06-04,JCU26,2026-09-01,Sep 2026,3,445.0
2026-06-04,JCV26,2026-10-01,Oct 2026,4,450.0
2026-06-04,JCX26,2026-11-01,Nov 2026,5,450.0
2026-06-04,JCZ26,2026-12-01,Dec 2026,6,450.0
2026-06-04,JCF27,2027-01-01,Jan 2027,7,452.5
2026-06-04,JCG27,2027-02-01,Feb 2027,8,452.5
2026-06-04,JCH27,2027-03-01,Mar 2027,9,455.0
2026-06-05,JCM26,2026-06-01,Jun 2026,0,448.0
2026-06-05,JCN26,2026-07-01,Jul 2026,1,416.5
2026-06-05,JCQ26,2026-08-01,Aug 2026,2,418.5
2026-06-05,JCU26,2026-09-01,Sep 2026,3,417.5
2026-06-05,JCV26,2026-10-01,Oct 2026,4,412.5
2026-06-05,JCX26,2026-11-01,Nov 2026,5,410.0
2026-06-05,JCZ26,2026-12-01,Dec 2026,6,410.0
2026-06-05,JCF27,2027-01-01,Jan 2027,7,417.5
2026-06-05,JCG27,2027-02-01,Feb 2027,8,420.0
2026-06-05,JCH27,2027-03-01,Mar 2027,9,425.0
2026-06-06,JCM26,2026-06-01,Jun 2026,0,438.75
2026-06-06,JCN26,2026-07-01,Jul 2026,1,419.0
2026-06-06,JCQ26,2026-08-01,Aug 2026,2,421.5
2026-06-06,JCU26,2026-09-01,Sep 2026,3,422.5
2026-06-06,JCV26,2026-10-01,Oct 2026,4,420.0
2026-06-06,JCX26,2026-11-01,Nov 2026,5,420.0
2026-06-06,JCZ26,2026-12-01,Dec 2026,6,417.5
2026-06-06,JCF27,2027-01-01,Jan 2027,7,420.0
2026-06-06,JCG27,2027-02-01,Feb 2027,8,425.0
2026-06-06,JCH27,2027-03-01,Mar 2027,9,430.0
2026-06-07,JCM26,2026-06-01,Jun 2026,0,438.75
2026-06-07,JCN26,2026-07-01,Jul 2026,1,419.0
2026-06-07,JCQ26,2026-08-01,Aug 2026,2,421.5
2026-06-07,JCU26,2026-09-01,Sep 2026,3,422.5
2026-06-07,JCV26,2026-10-01,Oct 2026,4,420.0
2026-06-07,JCX26,2026-11-01,Nov 2026,5,420.0
2026-06-07,JCZ26,2026-12-01,Dec 2026,6,417.5
2026-06-07,JCF27,2027-01-01,Jan 2027,7,420.0
2026-06-07,JCG27,2027-02-01,Feb 2027,8,425.0
2026-06-07,JCH27,2027-03-01,Mar 2027,9,430.0
2026-06-08,JCM26,2026-06-01,Jun 2026,0,438.75
2026-06-08,JCN26,2026-07-01,Jul 2026,1,419.0
2026-06-08,JCQ26,2026-08-01,Aug 2026,2,421.5
2026-06-08,JCU26,2026-09-01,Sep 2026,3,422.5
2026-06-08,JCV26,2026-10-01,Oct 2026,4,420.0
2026-06-08,JCX26,2026-11-01,Nov 2026,5,420.0
2026-06-08,JCZ26,2026-12-01,Dec 2026,6,417.5
2026-06-08,JCF27,2027-01-01,Jan 2027,7,420.0
2026-06-08,JCG27,2027-02-01,Feb 2027,8,425.0
2026-06-08,JCH27,2027-03-01,Mar 2027,9,430.0
2026-06-09,JCM26,2026-06-01,Jun 2026,0,425.5
2026-06-09,JCN26,2026-07-01,Jul 2026,1,390.0
2026-06-09,JCQ26,2026-08-01,Aug 2026,2,380.0
2026-06-09,JCU26,2026-09-01,Sep 2026,3,377.5
2026-06-09,JCV26,2026-10-01,Oct 2026,4,382.5
2026-06-09,JCX26,2026-11-01,Nov 2026,5,380.0
2026-06-09,JCZ26,2026-12-01,Dec 2026,6,382.5
